Knoten,Vektoren,Arrays
1518,497.2,495.66
1594,505.9,505.84
1716,563.7,563.64
1885,616.5,617.88
2671,851.8,851.7
2692,864.4,865.4
2764,901.1,902.4
3053,1019.5,1019.94
3082,969.8,970.22
3477,1129.0,1127.38
3570,335.5,336.24
3760,1221.6,1222.12
3861,1256.3,1257.58
3910,1313.6,1313.26
4032,1327.6,1325.34
4090,1343.3,1340.54
4105,1390.6,1390.5
4192,1386.2,1384.22
4271,1346.9,1349.2
4312,1453.5,1454.14
4396,1475.5,1476.08
4416,1374.8,1375.12
4464,1491.2,1491.76
4534,1408.1,1407.56
5376,1734.6,1736.58
5516,1829.4,1827.48
5581,1826.4,1826.28
5837,1988.7,1990.7
5874,1972.3,1975.0
6255,1577.9,1577.82
6453,2124.9,2126.48
6554,135.9,135.94
7241,2442.5,2442.4
7511,156.7,156.6
8145,172.2,172.2
8340,2109.7,2109.88
8511,173.1,172.9
8526,2886.5,2891.1
8980,174.5,174.6
9464,3090.4,3089.1
9568,193.1,192.92
