Knoten,Greedy,Greedy_Rev,Greedy_Vote,Greedy_Ran,Heuristic
232411,34.734,122.24,22.719,310.0,93.599
359510,79.752,295.516,52.9,310.0,229.736
468356,132.897,295.373,93.697,310.0,310.0
255237,35.666,153.097,26.099,310.0,21.862
410236,20.199,296.966,20.379,310.0,63.883
325882,61.222,295.342,42.991,310.0,36.87
1965206,310.0,297.789,310.0,310.0,310.0
962308,2.192,41.605,2.64,99.377,310.0
400727,23.858,297.073,20.194,310.0,60.958
435834,118.886,295.48,76.769,310.0,64.404
474466,146.104,295.52,93.116,310.0,77.727
381951,94.165,295.427,62.241,310.0,49.306
295560,61.431,224.735,40.871,310.0,29.65
281903,5.227,139.069,5.676,86.622,31.421
130026,0.416,1.654,0.518,4.834,6.803
1379917,310.0,296.951,310.0,310.0,310.0
827833,310.0,296.074,310.0,310.0,227.408
1684218,310.0,296.972,310.0,310.0,310.0
1086400,3.123,54.432,3.709,123.594,310.0
705635,310.0,295.733,211.13,310.0,173.879
1196685,3.394,63.366,4.081,138.559,310.0
999463,310.0,296.093,310.0,310.0,310.0
